 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000     
            1  -0.7815012359579463     
            1            1  (0.8025095414268656,0.000000000000000)
            1            2  (-2.3133691784417564E-004,0.000000000000000)
            1            3  (1.0644960263041877E-008,0.000000000000000)
            1            4  (-1.1012320546968184E-003,0.000000000000000)
            2            1  (7.9560792224899007E-002,0.000000000000000)
            3            1  (7.9550551030403260E-002,0.000000000000000)
            4            1  (7.9519776006710369E-002,0.000000000000000)
            5            1  (7.9519760552490049E-002,0.000000000000000)
            2  -0.4931231385703519     
            1            1  (6.9355312077929025E-008,0.000000000000000)
            1            2  (4.1491276734527187E-005,0.000000000000000)
            1            3  (0.7124156969573076,0.000000000000000)
            1            4  (5.1339722999826421E-005,0.000000000000000)
            2            1  (-2.7461181488390136E-005,0.000000000000000)
            3            1  (3.0520617716004262E-005,0.000000000000000)
            4            1  (0.3134559995944913,0.000000000000000)
            5            1  (-0.3134590378912454,0.000000000000000)
            3  -0.4930613896978436     
            1            1  (8.4619418890921443E-004,0.000000000000000)
            1            2  (0.4986504972912387,0.000000000000000)
            1            3  (-6.5709902076140447E-005,0.000000000000000)
            1            4  (0.5088035428010256,0.000000000000000)
            2            1  (-0.2715761414168830,0.000000000000000)
            3            1  (0.3465873660255806,0.000000000000000)
            4            1  (-3.7338031958438642E-002,0.000000000000000)
            5            1  (-3.7280152910606136E-002,0.000000000000000)
            4  -0.4922173717659122     
            1            1  (-4.4853660370607160E-004,0.000000000000000)
            1            2  (0.5088864238100709,0.000000000000000)
            1            3  (6.3055677046855884E-006,0.000000000000000)
            1            4  (-0.4985787726538374,0.000000000000000)
            2            1  (0.2722950151044879,0.000000000000000)
            3            1  (0.1657774292903990,0.000000000000000)
            4            1  (-0.2192642570668920,0.000000000000000)
            5            1  (-0.2192697770595180,0.000000000000000)
            5   9.0253447338420209E-002
            1            1  (1.705438817392032,0.000000000000000)
            1            2  (-2.9153296614865998E-003,0.000000000000000)
            1            3  (-5.3200966110575868E-007,0.000000000000000)
            1            4  (1.7660725390640335E-002,0.000000000000000)
            2            1  (-0.6403883210314215,0.000000000000000)
            3            1  (-0.6675498087917286,0.000000000000000)
            4            1  (-0.6715930239985486,0.000000000000000)
            5            1  (-0.6715940054985109,0.000000000000000)
            6   0.1164633209606849     
            1            1  (-2.1098930853427775E-002,0.000000000000000)
            1            2  (-0.8949070887322415,0.000000000000000)
            1            3  (-1.4733218926405454E-005,0.000000000000000)
            1            4  (0.7953349284805945,0.000000000000000)
            2            1  (0.9662411517022688,0.000000000000000)
            3            1  (0.6843376652533042,0.000000000000000)
            4            1  (-0.8088858315202210,0.000000000000000)
            5            1  (-0.8089143024127838,0.000000000000000)
            7   0.1179756352037682     
            1            1  (1.7985603837172980E-002,0.000000000000000)
            1            2  (-0.7978146248088449,0.000000000000000)
            1            3  (1.0963574235570737E-004,0.000000000000000)
            1            4  (-0.8970094969289275,0.000000000000000)
            2            1  (-1.063564571330465,0.000000000000000)
            3            1  (1.248869276103625,0.000000000000000)
            4            1  (-0.1068371128629675,0.000000000000000)
            5            1  (-0.1066242346349711,0.000000000000000)
            8   0.1180706046282128     
            1            1  (-1.0881883443133587E-006,0.000000000000000)
            1            2  (6.1842332323661572E-005,0.000000000000000)
            1            3  (1.200821319566735,0.000000000000000)
            1            4  (9.1739243929050174E-005,0.000000000000000)
            2            1  (1.0875405765025325E-004,0.000000000000000)
            3            1  (-1.0603930000390901E-004,0.000000000000000)
            4            1  (-1.164754658611104,0.000000000000000)
            5            1  (1.164753704556676,0.000000000000000)
 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000     
            1  -0.7815012359579463     
            1            1  (0.8025095414268656,0.000000000000000)
            1            2  (-2.3133691784417564E-004,0.000000000000000)
            1            3  (1.0644960263041877E-008,0.000000000000000)
            1            4  (-1.1012320546968184E-003,0.000000000000000)
            2            1  (7.9560792224899007E-002,0.000000000000000)
            3            1  (7.9550551030403260E-002,0.000000000000000)
            4            1  (7.9519776006710369E-002,0.000000000000000)
            5            1  (7.9519760552490049E-002,0.000000000000000)
            2  -0.4931231385703519     
            1            1  (6.9355312077929025E-008,0.000000000000000)
            1            2  (4.1491276734527187E-005,0.000000000000000)
            1            3  (0.7124156969573076,0.000000000000000)
            1            4  (5.1339722999826421E-005,0.000000000000000)
            2            1  (-2.7461181488390136E-005,0.000000000000000)
            3            1  (3.0520617716004262E-005,0.000000000000000)
            4            1  (0.3134559995944913,0.000000000000000)
            5            1  (-0.3134590378912454,0.000000000000000)
            3  -0.4930613896978436     
            1            1  (8.4619418890921443E-004,0.000000000000000)
            1            2  (0.4986504972912387,0.000000000000000)
            1            3  (-6.5709902076140447E-005,0.000000000000000)
            1            4  (0.5088035428010256,0.000000000000000)
            2            1  (-0.2715761414168830,0.000000000000000)
            3            1  (0.3465873660255806,0.000000000000000)
            4            1  (-3.7338031958438642E-002,0.000000000000000)
            5            1  (-3.7280152910606136E-002,0.000000000000000)
            4  -0.4922173717659122     
            1            1  (-4.4853660370607160E-004,0.000000000000000)
            1            2  (0.5088864238100709,0.000000000000000)
            1            3  (6.3055677046855884E-006,0.000000000000000)
            1            4  (-0.4985787726538374,0.000000000000000)
            2            1  (0.2722950151044879,0.000000000000000)
            3            1  (0.1657774292903990,0.000000000000000)
            4            1  (-0.2192642570668920,0.000000000000000)
            5            1  (-0.2192697770595180,0.000000000000000)
            5   9.0253447338420209E-002
            1            1  (1.705438817392032,0.000000000000000)
            1            2  (-2.9153296614865998E-003,0.000000000000000)
            1            3  (-5.3200966110575868E-007,0.000000000000000)
            1            4  (1.7660725390640335E-002,0.000000000000000)
            2            1  (-0.6403883210314215,0.000000000000000)
            3            1  (-0.6675498087917286,0.000000000000000)
            4            1  (-0.6715930239985486,0.000000000000000)
            5            1  (-0.6715940054985109,0.000000000000000)
            6   0.1164633209606849     
            1            1  (-2.1098930853427775E-002,0.000000000000000)
            1            2  (-0.8949070887322415,0.000000000000000)
            1            3  (-1.4733218926405454E-005,0.000000000000000)
            1            4  (0.7953349284805945,0.000000000000000)
            2            1  (0.9662411517022688,0.000000000000000)
            3            1  (0.6843376652533042,0.000000000000000)
            4            1  (-0.8088858315202210,0.000000000000000)
            5            1  (-0.8089143024127838,0.000000000000000)
