 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000     
            1  -0.8187601529203652     
            1            1  (-0.7202051537557802,0.000000000000000)
            1            2  (-5.8846190340545723E-002,0.000000000000000)
            1            3  (3.5981329393119565E-005,0.000000000000000)
            1            4  (1.4704005025379067E-009,0.000000000000000)
            1            5  (1.0906815571907777E-003,0.000000000000000)
            1            6  (9.8630720542326592E-005,0.000000000000000)
            1            7  (-1.0480635743566944E-008,0.000000000000000)
            1            8  (-3.8357902484031475E-004,0.000000000000000)
            1            9  (2.8010689194297203E-004,0.000000000000000)
            1           10  (3.6930949334939542E-009,0.000000000000000)
            1           11  (1.0618124059347279E-004,0.000000000000000)
            1           12  (-1.9755945262642501E-008,0.000000000000000)
            1           13  (-4.2421568379309255E-004,0.000000000000000)
            1           14  (7.9671858189693181E-005,0.000000000000000)
            1           15  (-1.6979172292593051E-010,0.000000000000000)
            1           16  (-2.1881935935060901E-004,0.000000000000000)
            1           17  (-1.7109159648790015E-010,0.000000000000000)
            1           18  (2.8591146486894647E-004,0.000000000000000)
            2            1  (-1.1254093365037549E-002,0.000000000000000)
            2            2  (-0.1229028817567177,0.000000000000000)
            2            3  (-1.5746438956546789E-004,0.000000000000000)
            2            4  (4.1431722212966348E-009,0.000000000000000)
            2            5  (-5.3367580583735122E-004,0.000000000000000)
            2            6  (1.9256146149877873E-004,0.000000000000000)
            2            7  (-2.4269443849070988E-009,0.000000000000000)
            2            8  (-2.0843317829007550E-002,0.000000000000000)
            3            1  (-1.3633930520598178E-002,0.000000000000000)
            3            2  (-0.1211789465895863,0.000000000000000)
            3            3  (9.2745208387229902E-004,0.000000000000000)
            3            4  (8.1188194659096173E-009,0.000000000000000)
            3            5  (6.5864143286772708E-004,0.000000000000000)
            3            6  (1.8836276628598290E-002,0.000000000000000)
            3            7  (5.2354816272942149E-010,0.000000000000000)
            3            8  (6.9266857385654086E-003,0.000000000000000)
            4            1  (-1.3949311952093405E-002,0.000000000000000)
            4            2  (-0.1211227068369505,0.000000000000000)
            4            3  (-4.4298966953903139E-004,0.000000000000000)
            4            4  (9.1128772503051608E-004,0.000000000000000)
            4            5  (5.5228684111040315E-004,0.000000000000000)
            4            6  (-9.5443519334174436E-003,0.000000000000000)
            4            7  (1.6408833840003929E-002,0.000000000000000)
            4            8  (6.5426189043845465E-003,0.000000000000000)
            5            1  (-1.3949304191040896E-002,0.000000000000000)
            5            2  (-0.1211226882934497,0.000000000000000)
            5            3  (-4.4295929740529764E-004,0.000000000000000)
            5            4  (-9.1129422132219928E-004,0.000000000000000)
            5            5  (5.5223317958911057E-004,0.000000000000000)
            5            6  (-9.5443494641898833E-003,0.000000000000000)
            5            7  (-1.6408832248783919E-002,0.000000000000000)
            5            8  (6.5426202075849725E-003,0.000000000000000)
            2  -0.5294231930683434     
            1            1  (-4.8900911716790156E-010,0.000000000000000)
            1            2  (2.9581347785975242E-009,0.000000000000000)
            1            3  (8.2665841475751853E-006,0.000000000000000)
            1            4  (0.5965174937213999,0.000000000000000)
            1            5  (1.4231083171695447E-005,0.000000000000000)
            1            6  (1.6341060689079712E-006,0.000000000000000)
            1            7  (0.1164653869175672,0.000000000000000)
            1            8  (2.7521196160979021E-006,0.000000000000000)
            1            9  (1.4694766005732514E-008,0.000000000000000)
            1           10  (7.6595637278594735E-003,0.000000000000000)
            1           11  (7.1596584389118680E-008,0.000000000000000)
            1           12  (-5.4457239055657391E-003,0.000000000000000)
            1           13  (2.6617780171481919E-007,0.000000000000000)
            1           14  (-9.6223546450008868E-008,0.000000000000000)
            1           15  (-9.1930591573093131E-003,0.000000000000000)
            1           16  (1.9689225408897367E-008,0.000000000000000)
