 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000     
           16  -0.1903791196211526     
            1            1  (-7.4927041082627883E-004,0.000000000000000)
            1            2  (1.1188921017234940E-004,0.000000000000000)
            1            3  (0.6934274359823812,0.000000000000000)
            1            4  (-2.1350340886500956E-005,0.000000000000000)
            1            5  (3.1542105146335409E-006,0.000000000000000)
            1            6  (-3.0596114052929344E-004,0.000000000000000)
            1            7  (2.3934380804176353E-004,0.000000000000000)
            1            8  (-9.1335388119947371E-003,0.000000000000000)
            1            9  (1.3936877797208959E-004,0.000000000000000)
            2            1  (3.4682149598003729E-004,0.000000000000000)
            2            2  (3.8897375264231775E-005,0.000000000000000)
            2            3  (-0.3503049619184253,0.000000000000000)
            2            4  (1.0959870408720413E-005,0.000000000000000)
            2            5  (-2.1400405827940865E-004,0.000000000000000)
            2            6  (-2.1069652867467412E-002,0.000000000000000)
            2            7  (-1.0685591415924310E-004,0.000000000000000)
            2            8  (-2.7445229672929367E-002,0.000000000000000)
            2            9  (-2.2215509929727884E-004,0.000000000000000)
            3            1  (3.0892297448643414E-004,0.000000000000000)
            3            2  (2.6719921905955533E-005,0.000000000000000)
            3            3  (-0.3431134914154806,0.000000000000000)
            3            4  (-3.2583478020156725E-005,0.000000000000000)
            3            5  (1.5784885836723589E-004,0.000000000000000)
            3            6  (-2.1051667565733029E-002,0.000000000000000)
            3            7  (-1.3741252635673758E-004,0.000000000000000)
            3            8  (2.7725650125825476E-002,0.000000000000000)
            3            9  (-2.1019441845339685E-004,0.000000000000000)
            4            1  (-7.8835012325557529E-004,0.000000000000000)
            4            2  (9.4785710626510850E-005,0.000000000000000)
            4            3  (0.6930960059386582,0.000000000000000)
            4            4  (1.0875456187910191E-005,0.000000000000000)
            4            5  (-2.2331258004483971E-005,0.000000000000000)
            4            6  (1.5659368960520062E-004,0.000000000000000)
            4            7  (2.4493531023467605E-004,0.000000000000000)
            4            8  (9.0347428392556044E-003,0.000000000000000)
            4            9  (1.2195433230384239E-004,0.000000000000000)
            5            1  (4.0684274507650747E-004,0.000000000000000)
            5            2  (8.5284561785308531E-005,0.000000000000000)
            5            3  (-0.3498632871129406,0.000000000000000)
            5            4  (2.0543500672593977E-005,0.000000000000000)
            5            5  (-2.3588441242199709E-004,0.000000000000000)
            5            6  (2.0854059673508896E-002,0.000000000000000)
            5            7  (-1.1835918848028167E-004,0.000000000000000)
            5            8  (2.7473554763630451E-002,0.000000000000000)
            5            9  (-1.8658368189964272E-004,0.000000000000000)
            6            1  (3.3816634572312958E-004,0.000000000000000)
            6            2  (1.1663750226488306E-004,0.000000000000000)
            6            3  (-0.3433560923277651,0.000000000000000)
            6            4  (-6.8532183043080991E-005,0.000000000000000)
            6            5  (1.8870866609532299E-004,0.000000000000000)
            6            6  (2.0956305662526577E-002,0.000000000000000)
            6            7  (-1.2983714444541347E-004,0.000000000000000)
            6            8  (-2.7692735107152269E-002,0.000000000000000)
            6            9  (-1.8374951393757550E-004,0.000000000000000)
