^C         21877593 function calls (21875643 primitive calls) in 87.336 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.035    0.035    0.111    0.111 __init__.py:138(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1385(RootLogger)
       31    0.000    0.000    0.001    0.000 __init__.py:139(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:1391(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1399(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
        1    0.000    0.000    0.028    0.028 __init__.py:14(pylab_setup)
        1    0.057    0.057    0.532    0.532 __init__.py:142(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.052    0.052    0.116    0.116 __init__.py:15(<module>)
        1    0.040    0.040    0.121    0.121 __init__.py:151(<module>)
        1    0.033    0.033    0.108    0.108 __init__.py:153(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1565(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1687(NullHandler)
       31    0.000    0.000    0.000    0.000 __init__.py:170(no)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.011    0.011    0.012    0.012 __init__.py:173(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        5    0.000    0.000    0.000    0.000 __init__.py:183(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.011    0.011    0.017    0.017 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        1    0.082    0.082    0.176    0.176 __init__.py:197(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.036    0.036    0.060    0.060 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        3    0.000    0.000    0.009    0.003 __init__.py:210(_is_writable_dir)
        4    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.090    0.090    1.228    1.228 __init__.py:225(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:232(RenameImport)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:260(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        2    0.000    0.000    0.000    0.000 __init__.py:264(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:27(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:275(set_fileo)
       19    0.000    0.000    0.000    0.000 __init__.py:290(report)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        4    0.087    0.022    0.102    0.026 __init__.py:3(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:301(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:302(hooks)
     11/7    0.000    0.000    0.006    0.001 __init__.py:311(wrapper)
        1    0.074    0.074    0.223    0.223 __init__.py:321(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:322(ge)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:353(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        2    0.063    0.032    0.076    0.038 __init__.py:38(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:397(__init__)
        1    0.006    0.006    0.007    0.007 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:401(suspend_hooks)
        1    0.000    0.000    0.000    0.000 __init__.py:406(checkdep_ps_distiller)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        2    0.030    0.015    0.035    0.018 __init__.py:44(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:442(checkdep_usetex)
        1    0.023    0.023    0.056    0.056 __init__.py:45(<module>)
        2    0.043    0.021    0.064    0.032 __init__.py:48(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:483(_get_home)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:501(BufferingFormatter)
        1    0.012    0.012    0.029    0.029 __init__.py:52(<module>)
        1    0.022    0.022    0.039    0.039 __init__.py:527(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:528(_get_xdg_config_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:537(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:543(Filter)
        3    0.000    0.000    0.010    0.003 __init__.py:546(_get_config_or_cache_dir)
        1    0.007    0.007    0.089    0.089 __init__.py:57(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:577(_get_configdir)
        1    0.000    0.000    0.000    0.000 __init__.py:580(Filterer)
        4    0.000    0.000    0.000    0.000 __init__.py:585(__init__)
        2    0.004    0.002    0.005    0.003 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:6(ProjectionRegistry)
        1    0.000    0.000    0.001    0.001 __init__.py:60(<module>)
        2    0.000    0.000    0.005    0.003 __init__.py:602(_get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:614(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:644(_addHandlerRef)
        1    0.002    0.002    0.006    0.006 __init__.py:65(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:653(_get_data_path_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:654(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:663(__init__)
        1    0.000    0.000    0.005    0.005 __init__.py:686(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:692(createLock)
        1    0.014    0.014    0.075    0.075 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:71(ProcessError)
        1    0.000    0.000    0.000    0.000 __init__.py:737(exclude_local_folder_imports)
        1    0.000    0.000    0.000    0.000 __init__.py:74(BufferTooShort)
        1    0.000    0.000    0.000    0.000 __init__.py:762(setFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:766(RcParams)
        1    0.000    0.000    0.000    0.000 __init__.py:77(TimeoutError)
      197    0.000    0.000    0.000    0.000 __init__.py:775(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:780(__setitem__)
       51    0.000    0.000    0.000    0.000 __init__.py:796(__getitem__)
        2    0.015    0.007    0.255    0.127 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:80(AuthenticationError)
        1    0.000    0.000    0.000    0.000 __init__.py:818(StreamHandler)
        1    0.016    0.016    0.020    0.020 __init__.py:82(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:825(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:83(<module>)
        1    0.035    0.035    0.038    0.038 __init__.py:85(<module>)
        1    0.000    0.000    0.016    0.016 __init__.py:852(rc_params)
        1    0.001    0.001    0.011    0.011 __init__.py:868(rc_params_from_file)
        2    0.092    0.046    0.144    0.072 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:889(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:961(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:967(__init__)
        1    0.058    0.058    0.191    0.191 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _arraytools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:14(Storage)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:149(AdaptiveStepsize)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:216(RandomDisplacement)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:230(MinimizerWrapper)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:246(Metropolis)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:36(BasinHoppingRunner)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _binned_statistic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:57(cubehelix)
        1    0.000    0.000    0.000    0.000 _cm.py:6(<module>)
        3    0.000    0.000    0.000    0.000 _cm.py:96(get_color_function)
        1    0.000    0.000    0.000    0.000 _components.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:150(DataSource)
        1    0.011    0.011    0.012    0.012 _datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:49(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:497(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:72(__init__)
        1    0.000    0.000    0.000    0.000 _decomp_polar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _expm_frechet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:241(MatrixPowerOperator)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:316(LazyOperatorNormInfo)
        1    0.001    0.001    0.001    0.001 _find_contours.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:336(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:8(PackageLoader)
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        3    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
        1    0.000    0.000    0.000    0.000 _inspect.py:162(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:196(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.001    0.001    0.007    0.007 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:155(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:246(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:438(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:445(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:452(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
        1    0.001    0.001    0.001    0.001 _label.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _laplacian.py:3(<module>)
        1    0.011    0.011    0.150    0.150 _marching_cubes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:21(SqrtmError)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1767(<genexpr>)
        1    0.001    0.001    0.001    0.001 _mathtext_data.py:3(<module>)
     2156    0.002    0.000    0.010    0.000 _methods.py:31(_any)
       31    0.000    0.000    0.001    0.000 _methods.py:35(_all)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.061    0.061    0.076    0.076 _minimize.py:8(<module>)
        1    0.004    0.004    0.004    0.004 _moments.py:2(<module>)
        1    0.012    0.012    0.013    0.013 _ni_support.py:31(<module>)
        1    0.000    0.000    0.000    0.000 _ode.py:1016(lsoda)
        1    0.000    0.000    0.000    0.000 _ode.py:103(ode)
        1    0.012    0.012    0.012    0.012 _ode.py:39(<module>)
        1    0.000    0.000    0.000    0.000 _ode.py:434(complex_ode)
        1    0.000    0.000    0.000    0.000 _ode.py:550(IntegratorConcurrencyError)
        1    0.000    0.000    0.000    0.000 _ode.py:564(IntegratorBase)
        1    0.000    0.000    0.000    0.000 _ode.py:612(vode)
        1    0.000    0.000    0.000    0.000 _ode.py:766(zvode)
        1    0.000    0.000    0.000    0.000 _ode.py:880(dopri5)
        1    0.000    0.000    0.000    0.000 _ode.py:965(dop853)
